developer,complex,metro_name,metro_walk_time,apartment_type,area,price,price for м2,Корпус,floor,rooms_number,Отделка,Срок сдачи
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.4 м2,22 093 534 ₽,365 787 ₽ за м2,5.4,2/27,259,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,56.5 м2,22 124 778 ₽,391 589 ₽ за м2,5.7,9/13,466,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,54.6 м2,22 138 116 ₽,405 460 ₽ за м2,5.5,17/27,153,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,57.8 м2,22 157 283 ₽,383 344 ₽ за м2,5.5,15/27,134,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,55 м2,22 161 590 ₽,402 938 ₽ за м2,5.4,16/27,421,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,1-комнатная квартира,47.49 м2,22 174 268 ₽,466 925 ₽ за м2,5,25/30,779,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,53.42 м2,22 217 912 ₽,415 910 ₽ за м2,4.1,11/44,104,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,55 м2,22 236 280 ₽,404 296 ₽ за м2,5.4,22/27,470,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,53.6 м2,22 262 974 ₽,415 354 ₽ за м2,5.4,10/27,359,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,1-комнатная квартира,47.49 м2,22 264 499 ₽,468 825 ₽ за м2,5,27/30,803,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,57.7 м2,22 275 662 ₽,386 060 ₽ за м2,5.5,19/27,166,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,55 м2,22 284 295 ₽,405 169 ₽ за м2,5.4,23/27,478,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,54.5 м2,22 287 884 ₽,408 952 ₽ за м2,5.5,22/27,193,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,54.9 м2,22 323 657 ₽,406 624 ₽ за м2,5.4,24/27,485,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,56.5 м2,22 327 557 ₽,395 178 ₽ за м2,5.7,11/13,480,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.5 м2,22 347 248 ₽,369 376 ₽ за м2,5.4,9/27,344,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,56.9 м2,22 364 203 ₽,393 044 ₽ за м2,5.5,16/27,149,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,53.8 м2,22 377 356 ₽,415 936 ₽ за м2,5.4,11/27,367,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,53.42 м2,22 405 683 ₽,419 425 ₽ за м2,4.1,14/44,134,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.5 м2,22 417 670 ₽,370 540 ₽ за м2,5.4,10/27,357,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,56.57 м2,22 426 327 ₽,396 435 ₽ за м2,4.1,2/44,9,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,56.9 м2,22 441 473 ₽,394 402 ₽ за м2,5.5,18/27,165,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,54.6 м2,22 445 295 ₽,411 086 ₽ за м2,5.5,25/27,217,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,55 м2,22 460 350 ₽,408 370 ₽ за м2,5.4,26/27,497,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.4 м2,22 468 498 ₽,371 995 ₽ за м2,5.4,7/27,319,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,56.2 м2,22 497 927 ₽,400 319 ₽ за м2,5.6,2/13,241,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,56.57 м2,22 501 566 ₽,397 765 ₽ за м2,4.1,3/44,22,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,57.7 м2,22 516 328 ₽,390 231 ₽ за м2,5.5,25/27,214,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.5 м2,22 529 171 ₽,372 383 ₽ за м2,5.4,12/27,383,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,1-комнатная квартира,48.5 м2,22 543 964 ₽,464 824 ₽ за м2,5.2,9/13,139,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.95 м2,22 575 489 ₽,403 494 ₽ за м2,4.1,27/44,259,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,53.42 м2,22 598 529 ₽,423 035 ₽ за м2,4.1,17/44,164,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,56.9 м2,22 601 533 ₽,397 215 ₽ за м2,5.5,22/27,197,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,58 м2,22 639 024 ₽,390 328 ₽ за м2,5.8,3/13,508,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,54.4 м2,22 669 132 ₽,416 712 ₽ за м2,5.4,18/27,439,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.95 м2,22 677 318 ₽,405 314 ₽ за м2,4.1,29/44,275,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,56.9 м2,22 678 803 ₽,398 573 ₽ за м2,5.5,24/27,213,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,56.77 м2,22 688 982 ₽,399 665 ₽ за м2,4.1,4/44,33,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,56.57 м2,22 705 783 ₽,401 375 ₽ за м2,4.1,5/44,44,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,53.42 м2,22 730 477 ₽,425 505 ₽ за м2,4.1,19/44,184,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,3-комнатная квартира,61.6 м2,22 747 586 ₽,369 279 ₽ за м2,5.5,3/27,16,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.95 м2,22 774 055 ₽,407 043 ₽ за м2,4.1,31/44,291,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,53.8 м2,22 794 844 ₽,423 696 ₽ за м2,5.4,26/27,498,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,56.2 м2,22 797 754 ₽,405 654 ₽ за м2,5.6,5/13,265,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,54.3 м2,22 806 543 ₽,420 010 ₽ за м2,5.4,21/27,463,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,52.88 м2,22 837 285 ₽,431 870 ₽ за м2,4.1,24/44,233,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.95 м2,22 896 250 ₽,409 227 ₽ за м2,4.1,34/44,315,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,59.9 м2,22 904 202 ₽,382 374 ₽ за м2,5.7,6/13,446,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,1-комнатная квартира,50.7 м2,22 946 921 ₽,452 602 ₽ за м2,5.2,2/13,90,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,58 м2,22 976 584 ₽,396 148 ₽ за м2,5.8,3/13,507,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.95 м2,22 982 805 ₽,410 774 ₽ за м2,4.1,36/44,331,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.7 м2,23 009 913 ₽,379 076 ₽ за м2,5.4,2/4,510,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,61.4 м2,23 042 990 ₽,375 293 ₽ за м2,5.4,2/27,258,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,58 м2,23 049 722 ₽,397 409 ₽ за м2,5.4,21/27,466,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,53.8 м2,23 050 556 ₽,428 449 ₽ за м2,5.4,8/27,328,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,58 м2,23 055 348 ₽,397 506 ₽ за м2,5.8,7/13,528,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.95 м2,23 069 359 ₽,412 321 ₽ за м2,4.1,38/44,347,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.95 м2,23 105 000 ₽,412 958 ₽ за м2,4.1,39/44,355,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.9 м2,23 180 245 ₽,380 628 ₽ за м2,5.7,3/13,425,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.96 м2,23 195 699 ₽,414 505 ₽ за м2,4.1,41/44,369,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,56.2 м2,23 212 061 ₽,413 026 ₽ за м2,5.6,9/13,297,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,58.1 м2,23 247 262 ₽,400 125 ₽ за м2,5.4,24/27,488,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,56.57 м2,23 275 443 ₽,411 445 ₽ за м2,4.1,7/44,66,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,56.31 м2,23 286 155 ₽,413 535 ₽ за м2,5,13/30,623,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.5 м2,23 321 419 ₽,385 478 ₽ за м2,5.4,16/27,424,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,59.9 м2,23 334 164 ₽,389 552 ₽ за м2,5.7,10/13,474,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,61.6 м2,23 363 032 ₽,379 270 ₽ за м2,5.4,3/27,268,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,58 м2,23 364 778 ₽,402 841 ₽ за м2,5.8,10/13,543,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,57.87 м2,23 381 505 ₽,404 035 ₽ за м2,4.1,2/44,8,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,57.87 м2,23 458 472 ₽,405 365 ₽ за м2,4.1,3/44,21,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,57.87 м2,23 458 472 ₽,405 365 ₽ за м2,4.1,6/44,54,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,58 м2,23 494 176 ₽,405 072 ₽ за м2,5.8,8/13,532,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,58.24 м2,23 536 531 ₽,404 130 ₽ за м2,4.2,2/12,395,Без отделки,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,56.3 м2,23 538 748 ₽,418 095 ₽ за м2,5,17/30,674,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,59.9 м2,23 543 335 ₽,393 044 ₽ за м2,5.7,12/13,488,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,58 м2,23 567 314 ₽,406 333 ₽ за м2,5.8,12/13,553,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,56.3 м2,23 618 976 ₽,419 520 ₽ за м2,5,20/30,710,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,58.24 м2,23 702 515 ₽,406 980 ₽ за м2,4.2,4/12,413,Без отделки,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,58.24 м2,23 779 974 ₽,408 310 ₽ за м2,4.2,5/12,422,Без отделки,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,61.3 м2,23 790 346 ₽,388 097 ₽ за м2,5.4,16/27,423,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.9 м2,23 830 048 ₽,391 298 ₽ за м2,5.7,9/13,467,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,57.4 м2,23 902 565 ₽,416 421 ₽ за м2,5.3,10/13,226,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,58 м2,23 904 874 ₽,412 153 ₽ за м2,5.8,12/13,552,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.7 м2,23 969 640 ₽,394 887 ₽ за м2,5.4,4/4,530,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,61.5 м2,23 981 310 ₽,389 940 ₽ за м2,5.4,8/27,330,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.84 м2,23 983 000 ₽,429 495 ₽ за м2,4.1,27/44,258,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,57.4 м2,24 019 489 ₽,418 458 ₽ за м2,5.3,12/13,240,Предчистовая,2 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,59.8 м2,24 026 085 ₽,401 774 ₽ за м2,5.7,6/13,364,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.84 м2,24 094 401 ₽,431 490 ₽ за м2,4.1,29/44,274,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.65 м2,24 139 300 ₽,433 770 ₽ за м2,4.2,2/12,393,Без отделки,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.65 м2,24 218 601 ₽,435 195 ₽ за м2,4.2,3/12,402,Без отделки,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.84 м2,24 232 326 ₽,433 960 ₽ за м2,4.1,32/44,298,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,59.8 м2,24 246 508 ₽,405 460 ₽ за м2,5.7,8/13,378,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,60.8 м2,24 327 600 ₽,400 125 ₽ за м2,5.7,3/13,343,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,56.86 м2,24 394 077 ₽,429 020 ₽ за м2,5,27/30,794,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.84 м2,24 497 566 ₽,438 710 ₽ за м2,4.1,38/44,346,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.05 м2,24 522 197 ₽,401 674 ₽ за м2,4.1,14/44,135,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,65.2 м2,24 538 672 ₽,376 360 ₽ за м2,5.7,3/13,429,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,55.84 м2,24 540 004 ₽,439 470 ₽ за м2,4.1,39/44,354,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,59.8 м2,24 664 151 ₽,412 444 ₽ за м2,5.7,12/13,406,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.05 м2,24 666 642 ₽,404 040 ₽ за м2,4.1,16/44,155,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,57.4 м2,24 687 625 ₽,430 098 ₽ за м2,5.1,5/13,25,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.05 м2,24 733 308 ₽,405 132 ₽ за м2,4.1,17/44,165,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,60.75 м2,24 741 348 ₽,407 265 ₽ за м2,4.1,6/44,51,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.33 м2,24 824 421 ₽,404 768 ₽ за м2,4.1,27/44,260,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.05 м2,24 872 197 ₽,407 407 ₽ за м2,4.1,19/44,185,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,2-комнатная квартира,65.2 м2,24 886 514 ₽,381 695 ₽ за м2,5.7,6/13,450,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.33 м2,24 936 042 ₽,406 588 ₽ за м2,4.1,29/44,276,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,63.54 м2,25 013 537 ₽,393 666 ₽ за м2,4.1,14/44,133,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,2-комнатная квартира,61.33 м2,25 042 081 ₽,408 317 ₽ за м2,4.1,31/44,292,Предчистовая,4 квартал 2027
