title,rooms,number,area,price,price_per_meter,completion_date,details,room_sizes,presentation_url,url,features
"Студия №141, 27.9 м²",,141,9,5210658,186762,-15%,"{'Проект': 'Десятка', 'Метро': 'Котельники', 'Адрес': 'Московская область, г. Раменское, микрорайон №10', 'Корпус': 'Корпус 7', 'Секция': 'Секция 2', 'Этаж': '11 из 16'}","{'Прихожая': '2.9', 'Кухня-ниша': '6.1', 'Комната': '13.8', 'Совмещенный санузел': '3.8', 'Балкон': '4.33'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000188624,https://etalongroup.ru/msk/choose/74622/,"{'Архитектура': {'title': 'Архитектура'}, 'Таунхаусы с ключами': {'title': 'Таунхаусы с ключами'}, 'Социальная инфраструктура': {'title': 'Социальная инфраструктура'}, 'Парки': {'title': 'Парки'}}"
"1-комн. квартира №137, 36.3 м²",1.0,137,3,19855751,546991,II квартал 2028,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '3 очередь, 2 этап, корпус 3', 'Секция': 'Секция 1', 'Этаж': '2 из 5', 'Высота потолков': '3.02 м'}","{'Кухня': '11.7', 'Комната': '15.2', 'Прихожая': '5', 'Совмещенный санузел': '4.4'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000281891,https://etalongroup.ru/msk/choose/114259/,"{'Архитектура': {'title': 'Архитектура'}, 'Квартиры с террасами': {'title': 'Квартиры с террасами'}, 'Подземный паркинг': {'title': 'Подземный паркинг'}, 'Urban лобби': {'title': 'Urban лобби'}, 'Социальная инфраструктура': {'title': 'Социальная инфраструктура'}, 'Набережная': {'title': 'Набережная'}, 'Благоустройство': {'title': 'Благоустройство'}}"
"Студия №389, 33.2 м²",,389,2,22731890,684696,II квартал 2025,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '2 очередь, 2 этап, корпус 3', 'Секция': 'Секция 3.3', 'Этаж': '12 из 17', 'Высота потолков': '3.1 м'}","{'Спальня': '12.7', 'Кухня-ниша': '8.3', 'Санузел': '4.5', 'Прихожая': '4.6', 'Коридор': '3.1'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000180027,https://etalongroup.ru/msk/choose/49669/,"{'Планировка': {'title': 'Планировка', 'description': ''}, 'План этажа': {'title': 'План этажа', 'description': ''}, 'Архитектура': {'title': 'Архитектура', 'description': ''}, 'Квартиры с террасами': {'title': 'Квартиры с террасами', 'description': ''}, 'Подземный паркинг': {'title': 'Подземный паркинг', 'description': ''}, 'Urban лобби': {'title': 'Urban лобби', 'description': ''}, 'Социальная инфраструктура': {'title': 'Социальная инфраструктура', 'description': ''}, 'Набережная': {'title': 'Набережная', 'description': ''}, 'Благоустройство': {'title': 'Благоустройство', 'description': ''}}"
"1-комн. квартира №66, 39 м²",1.0,66,39,25501847,653894,IV квартал 2026,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '3 очередь, 5 этап, корпус 4', 'Секция': 'Секция 1', 'Этаж': '11 из 19', 'Высота потолков': '2.87 м'}","{'Кухня': '15', 'Комната': '12.3', 'Прихожая': '4.5', 'Совмещенный санузел': '4.3', 'Гардеробная': '2.9'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000269215,https://etalongroup.ru/msk/choose/101410/,"{'Планировка': {'title': 'Планировка', 'description': ''}, 'План этажа': {'title': 'План этажа', 'description': ''}, 'Архитектура': {'title': 'Архитектура', 'description': ''}, 'Квартиры с террасами': {'title': 'Квартиры с террасами', 'description': ''}, 'Подземный паркинг': {'title': 'Подземный паркинг', 'description': ''}, 'Urban лобби': {'title': 'Urban лобби', 'description': ''}, 'Социальная инфраструктура': {'title': 'Социальная инфраструктура', 'description': ''}, 'Набережная': {'title': 'Набережная', 'description': ''}, 'Благоустройство': {'title': 'Благоустройство', 'description': ''}}"
"1-комн. квартира №245, 39.5 м²",1.0,245,5,24308383,615403,IV квартал 2026,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '3 очередь, 5 этап, корпус 5', 'Секция': 'Секция 5.2', 'Этаж': '8 из 19', 'Высота потолков': '2.87 м'}","{'Комната': '13.1', 'Кухня': '14.3', 'Прихожая': '4.8', 'Совмещенный санузел': '4.5', 'Гардеробная': '2.8'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000271476,https://etalongroup.ru/msk/choose/101748/,"{'Планировка': {'title': 'Планировка', 'description': ''}, 'План этажа': {'title': 'План этажа', 'description': ''}, 'Архитектура': {'title': 'Архитектура', 'description': ''}, 'Квартиры с террасами': {'title': 'Квартиры с террасами', 'description': ''}, 'Подземный паркинг': {'title': 'Подземный паркинг', 'description': ''}, 'Urban лобби': {'title': 'Urban лобби', 'description': ''}, 'Социальная инфраструктура': {'title': 'Социальная инфраструктура', 'description': ''}, 'Набережная': {'title': 'Набережная', 'description': ''}, 'Благоустройство': {'title': 'Благоустройство', 'description': ''}}"
"2-комн. квартира №397, 60.8 м²",2.0,397,8,25866432,425435,-18%,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '3 очередь, 5 этап, корпус 6', 'Секция': 'Секция 6.2', 'Этаж': '3 из 19', 'Высота потолков': '2.87 м'}","{'Кухня-столовая': '19', 'Комната': '12.6', 'Прихожая': '2.4', 'Коридор': '5.5', 'Санузел': '1.8', 'Совмещенный санузел': '4.2', 'Гардеробная': '1.9'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000270102,https://etalongroup.ru/msk/choose/101592/,"{'Планировка': {'title': 'Планировка', 'description': ''}, 'План этажа': {'title': 'План этажа', 'description': ''}, 'Архитектура': {'title': 'Архитектура', 'description': ''}, 'Квартиры с террасами': {'title': 'Квартиры с террасами', 'description': ''}, 'Подземный паркинг': {'title': 'Подземный паркинг', 'description': ''}, 'Urban лобби': {'title': 'Urban лобби', 'description': ''}, 'Социальная инфраструктура': {'title': 'Социальная инфраструктура', 'description': ''}, 'Набережная': {'title': 'Набережная', 'description': ''}, 'Благоустройство': {'title': 'Благоустройство', 'description': ''}}"
"1-комн. квартира №425, 43.9 м²",1.0,425,9,27113165,617612,IV квартал 2026,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '3 очередь, 5 этап, корпус 6', 'Секция': 'Секция 6.2', 'Этаж': '6 из 19', 'Высота потолков': '2.87 м'}","{'Кухня-столовая': '20', 'Комната': '13.6', 'Прихожая': '3.6', 'Совмещенный санузел': '4.1', 'Гардеробная': '2.6'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000270126,https://etalongroup.ru/msk/choose/101616/,"{'Планировка': {}, 'План этажа': {}, 'Архитектура': {}, 'Квартиры с террасами': {}, 'Подземный паркинг': {}, 'Urban лобби': {}, 'Социальная инфраструктура': {}, 'Набережная': {}, 'Благоустройство': {}}"
"Студия №82, 28 м²",,82,28,6265023,223751,Сдан,"{'Проект': 'Десятка', 'Метро': 'Котельники', 'Адрес': 'Московская область, г. Раменское, микрорайон №10', 'Корпус': 'Корпус 7', 'Секция': 'Секция 1', 'Этаж': '15 из 15'}","{'Прихожая': '2.9', 'Кухня-ниша': '6.1', 'Комната': '13.9', 'Совмещенный санузел': '3.8', 'Балкон': '4.33'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000188544,https://etalongroup.ru/msk/choose/74542/,"{'Планировка': {}, 'План этажа': {}, 'Архитектура': {}, 'Таунхаусы с ключами': {}, 'Социальная инфраструктура': {}, 'Парки': {}}"
"1-комн. квартира №419, 41.3 м²",1,419,3,26955588,652678,IV квартал 2025,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '2 очередь, 1 этап, корпус 7', 'Секция': 'Секция 7.1', 'Этаж': '13 из 17', 'Высота потолков': '3.57 м'}","{'Прихожая': '4.3', 'Кухня-столовая': '16.4', 'Спальня': '14.4', 'Санузел': '4.3', 'Гардеробная': '1.9'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000191550,https://etalongroup.ru/msk/choose/116347/,"{'Планировка': {'title': 'Архитектура', 'description': 'Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные подходы в проектировании и строительстве зданий. Архитектурная композиция состоит из домов отличающегося типа.\n\nВысотные башни-доминанты с видовыми квартирами, дома пониже, растворяющиеся в спокойствии внутренних двориков, малоэтажные камерные таунхаусы и разноэтажные дома с лоджиями на первой береговой линии соединяются в одно эстетичное современное произведение. В результате создаётся насыщенное идентичное пространство, подчёркнутое плавностью природных форм, наполненное светом, воздухом и свободой.', 'images': ['/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg', '/upload/kelnik.adminpage/044/wi1dkfjndswhxw8pldt6ymtmki89iy0f.jpg', '/upload/kelnik.adminpage/849/o6mhmeovsrb2ezhqyfddwtx0eoznsovt.jpg']}, 'План этажа': {'title': 'Архитектура', 'description': 'Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные подходы в проектировании и строительстве зданий. Архитектурная композиция состоит из домов отличающегося типа.\n\nВысотные башни-доминанты с видовыми квартирами, дома пониже, растворяющиеся в спокойствии внутренних двориков, малоэтажные камерные таунхаусы и разноэтажные дома с лоджиями на первой береговой линии соединяются в одно эстетичное современное произведение. В результате создаётся насыщенное идентичное пространство, подчёркнутое плавностью природных форм, наполненное светом, воздухом и свободой.', 'images': ['/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg', '/upload/kelnik.adminpage/044/wi1dkfjndswhxw8pldt6ymtmki89iy0f.jpg', '/upload/kelnik.adminpage/849/o6mhmeovsrb2ezhqyfddwtx0eoznsovt.jpg']}, 'Архитектура': {'title': 'Архитектура', 'description': 'Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные подходы в проектировании и строительстве зданий. Архитектурная композиция состоит из домов отличающегося типа.\n\nВысотные башни-доминанты с видовыми квартирами, дома пониже, растворяющиеся в спокойствии внутренних двориков, малоэтажные камерные таунхаусы и разноэтажные дома с лоджиями на первой береговой линии соединяются в одно эстетичное современное произведение. В результате создаётся насыщенное идентичное пространство, подчёркнутое плавностью природных форм, наполненное светом, воздухом и свободой.', 'images': ['/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg', '/upload/kelnik.adminpage/044/wi1dkfjndswhxw8pldt6ymtmki89iy0f.jpg', '/upload/kelnik.adminpage/849/o6mhmeovsrb2ezhqyfddwtx0eoznsovt.jpg']}, 'Квартиры с террасами': {'title': 'Квартиры с террасами', 'description': 'Большой выбор квартир с террасами — от 2-комнатных до 5-комнатных. Террасы, с которых открывается живописный вид на набережную Шагала и Москву-реку или внутренний двор.\n\nДвухуровневая 5-комнатная квартира с открытой террасой идеально подойдет большой семье, а также тем, кому нужен домашний офис или творческая студия — каждый уровень имеет отдельный вход. Единственная на этаже, такая квартира создает ощущение частного загородного дома.', 'images': ['/upload/kelnik.adminpage/b48/olyakjywa93zflaiur5xx62ljzhipnjv.jpg']}, 'Подземный паркинг': {'title': 'Подземный паркинг', 'description': 'Мечта практически любого москвича — дворы без машин — будет воплощена в жизнь благодаря подземному паркингу, расположенному под всей территорией застройки.\n\nНа каждом этапе строительства жилого квартала Shagal предусмотрен подземный отапливаемый паркинг.\n\nВсе лифты спускаются в подземный паркинг и автоматически управляются системой умной дом, которая анализирует трафик и распределяет загрузку в зависимости от потребностей жителей. Помещения будут оснащены современной приточно-вытяжной вентиляцией.', 'images': ['/upload/kelnik.adminpage/c0b/0pkucorlxsy43gyagzrb2dzbras5tvwc.jpg', '/upload/kelnik.adminpage/6bb/fsu6jn53ipzkk4g35f9ynbo485dgdjuh.jpg', '/upload/kelnik.adminpage/f23/y5n243hprvkvyjubv0bge5cycaqmei4s.jpg']}, 'Urban лобби': {'title': 'Входная группа', 'description': 'Лобби в стиле урбан-минимализма удивит вас своим простором и функциональностью. Помимо привычных колясочных, санузлов и ресепшн-зоны, здесь появится полноценное пространство для отдыха, работы и творчества.\n\nХарактерный стиль из экстерьера плавно перетекает в интерьер, стоит лишь шагнуть с улицы в лобби. Светлые мягкие оттенки лаконичной мебели и отделки минимизируют наличие визуального шума, оставляя пространство для спокойной и уютной атмосферы. Акцентная символика на стенах и предметы интерьера напоминают часть выставки современного искусства.', 'images': ['/upload/kelnik.adminpage/250/i84iklkx1laxpe19mpl8edlb91xx2u2z.jpg', '/upload/kelnik.adminpage/c7d/nqbjiqt00zis1y7mwtp620s9m0jnb79j.jpg', '/upload/kelnik.adminpage/216/4t2gle2u50b2ln10bwr119k742vgmhd4.jpg']}, 'Социальная инфраструктура': {'title': 'Социальная инфраструктура', 'description': 'На территории жилого квартала планируется строительство обучающих и развивающих локаций: 6 детских садов и 2 школы, в ближайшем окружении находятся колледжи и ВУЗы.\n\nПри необходимости всегда можно обратиться за квалифицированной медицинской помощью в поликлинику для детей и взрослых.\n\nМы предусмотрели наличие полного спектра социальной инфраструктуры. Один из главных векторов концепции Shagal — 100% kids friendly.', 'images': ['/upload/kelnik.adminpage/711/hnlth1fvne787id7ts3z4s285yy6p4qq.jpg', '/upload/kelnik.adminpage/012/dbpowhqys1jqyip1wgdrnn3aqod3trt1.jpg', '/upload/kelnik.adminpage/630/1ltj9xgr5mmt2ermmh7av596x1coskdk.jpg']}, 'Набережная': {'title': 'Набережная', 'description': 'Река — идеальное соседство для района нового формата и множество преимуществ: отличная экология, ощущение близости к природе, живописные виды из окон.\n\nУ жителей Shagal будет возможность совершать утренние пробежки под пение птиц, практиковать SUP-серфинг на зеркальной глади, заниматься йогой под шелест листвы, встречать яркие закаты, дыша свежим речным воздухом.\n\nВ затоне Новинки, будет построена и оборудована целая инфраструктура для «причального отдыха», которая будет включать в себя: фудкорт, площадку для мероприятий, ресторан с террасой, а также пространство для коворкинга. И всё это будет доступно для жителей квартала Shagal.', 'images': ['/upload/kelnik.adminpage/042/i4i0v3y9k5bh5nrbhl0k93v7plcn4nsx.jpg', '/upload/kelnik.adminpage/a3e/dvr18p14kwgkif26u34ohe2r0plezlu8.jpg', '/upload/kelnik.adminpage/883/eboajungg724nu9dofo9chbliglioswv.jpg']}, 'Благоустройство': {'title': 'Благоустройство', 'description': 'Инновационной станет и внутренняя логистика квартала. Сеть комфортных пешеходных маршрутов создана с учетом солнечных и теневых сторон улиц, местной розы ветров и будущего озеленения.\n\nЖилой квартал Shagal — первый в Москве район, который строится по принципу «15-минутного города». Это город коротких расстояний, где в пределах 15-ти минут каждый житель сможет дойти от своего дома до всех необходимых общественных, социальных, коммерческих и деловых пространств, будь то парк, детский сад, офис или супермаркет. За счёт продуманной среды эти прогулки по району позволят жителям получать разнообразный клиентский опыт.', 'images': ['/upload/kelnik.adminpage/61f/d0cede21qlr8sizj5lt65heod70oij1o.jpg', '/upload/kelnik.adminpage/957/m2dv8uwwac9yydh2s2rkx95es0ru89eb.jpg', '/upload/kelnik.adminpage/862/jokwhe5sfdwkeujgcjjk1eldvfnvcuq7.jpg']}}"
"3-комн. квартира №277, 62.9 м²",3,277,9,12484684,198485,Сдан,"{'Проект': 'Десятка', 'Метро': 'Котельники', 'Адрес': 'Московская область, г. Раменское, микрорайон №10', 'Корпус': 'Корпус 7', 'Секция': 'Секция 3', 'Этаж': '12 из 16'}","{'Прихожая': '6.6', 'Санузел': '1.4', 'Ванная': '3.9', 'Комната': '14.9', 'Кухня-ниша': '9.8', 'Балкон': '4.33'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000188839,https://etalongroup.ru/msk/choose/74836/,"{'Планировка': {'title': 'Архитектура', 'description': 'Для возведения комплекса была выбрана монолитная система домостроения. Архитектурный проект характеризуется эстетикой современного минимализма и лаконичными решениями.\n\nЛоджии квартир остеклены в пол для создания открытого и свободного пространства, которое визуально соединяется с природными мотивами окружения. А отделка фасадов керамогранитом только усиливает эту концептуальную связь.', 'images': ['/upload/kelnik.adminpage/340/oazk2dgxmcm3ncb2xy2m1hgsgzuc4tzp.jpg', '/upload/kelnik.adminpage/7c6/k0009h47nzlqvegtmb879jeqe75gfaar.jpg', '/upload/kelnik.adminpage/939/7divzid7y2scsmdofwy96mpnenguru26.jpg']}, 'План этажа': {'title': 'Архитектура', 'description': 'Для возведения комплекса была выбрана монолитная система домостроения. Архитектурный проект характеризуется эстетикой современного минимализма и лаконичными решениями.\n\nЛоджии квартир остеклены в пол для создания открытого и свободного пространства, которое визуально соединяется с природными мотивами окружения. А отделка фасадов керамогранитом только усиливает эту концептуальную связь.', 'images': ['/upload/kelnik.adminpage/340/oazk2dgxmcm3ncb2xy2m1hgsgzuc4tzp.jpg', '/upload/kelnik.adminpage/7c6/k0009h47nzlqvegtmb879jeqe75gfaar.jpg', '/upload/kelnik.adminpage/939/7divzid7y2scsmdofwy96mpnenguru26.jpg']}, 'Архитектура': {'title': 'Архитектура', 'description': 'Для возведения комплекса была выбрана монолитная система домостроения. Архитектурный проект характеризуется эстетикой современного минимализма и лаконичными решениями.\n\nЛоджии квартир остеклены в пол для создания открытого и свободного пространства, которое визуально соединяется с природными мотивами окружения. А отделка фасадов керамогранитом только усиливает эту концептуальную связь.', 'images': ['/upload/kelnik.adminpage/340/oazk2dgxmcm3ncb2xy2m1hgsgzuc4tzp.jpg', '/upload/kelnik.adminpage/7c6/k0009h47nzlqvegtmb879jeqe75gfaar.jpg', '/upload/kelnik.adminpage/939/7divzid7y2scsmdofwy96mpnenguru26.jpg']}, 'Таунхаусы с ключами': {'title': 'Таунхаусы с ключами', 'description': 'В жилом комплексе «Десятка» расположились готовые двухэтажные таунхаусы с зелеными внутренними дворами.\n\nТаунхаусы - идеальное решение для тех, кто хочет жить в городе с комфортом и уютом собственного дома. Вы сможете наслаждаться тишиной и спокойствием загородной жизни, при этом оставаясь в шаговой доступности от всей необходимой инфраструктуры.', 'images': ['/upload/kelnik.adminpage/6e2/skvp1egz0hzx4h7qjarcewk3y2dtpxst.jpg', '/upload/kelnik.adminpage/c05/tjg3det54hni5an1wk42rtvxcxz8mez4.jpg', '/upload/kelnik.adminpage/44d/0t6bbc1pidymrb6mf3qaf5ivsm0a49i2.jpg']}, 'Социальная инфраструктура': {'title': 'Социальная инфраструктура', 'description': 'На территории микрорайона есть все важные объекты: детский сад, школа, досугово-спортивные локации для людей разного возраста, магазины и ТЦ.\n\nПри необходимости всего за 10 минут на общественном транспорте можно добраться до центра города Раменское, а на автомобиле или электричке спутник-экспресс легко в рамках часа доехать до Москвы.', 'images': ['/upload/kelnik.adminpage/f88/msjoa8tdc3p2tk6u0gg6c08w7rpqp7co.jpg', '/upload/kelnik.adminpage/aff/wbusw3kuy0n8133umsfjplldtuikaj1j.jpg', '/upload/kelnik.adminpage/8e6/369m8qhzdxzwsc91rbyj56902d3z7f66.jpg']}, 'Парки': {'title': 'Парки', 'description': 'Жилой комплекс «Десятка» располагается в районе с повышенными показателями отличной экологии. Дома возводятся на границе с лесом рядом с озером Плотина.\n\nЕстественная парковая зона буквально в нескольких шагах от жилого пространства. Также 30-ти минутах пешком находится Раменский государственный парк культуры и отдыха, а в 15-ти минутах пешком Дергаевское водохранилище.', 'images': ['/upload/kelnik.adminpage/291/1wf201cg2ihqgl8beofnijx26oxk9lc9.jpg', '/upload/kelnik.adminpage/265/l1b771jg0zsqny173e0za9xv3g4jf4sw.jpg', '/upload/kelnik.adminpage/7fa/umzo1h8pkoghmtfz1krq3ozm3mzhf9ql.jpg']}}"
"1-комн. квартира №480, 37 м²",1,480,37,20630977,557594,II квартал 2028,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '3 очередь, 3 этап, корпус 9', 'Секция': 'Секция 1', 'Этаж': '12 из 15', 'Высота потолков': '3.02 м'}","{'Кухня': '12', 'Комната': '14.5', 'Прихожая': '6.7', 'Совмещенный санузел': '3.8'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000276550,https://etalongroup.ru/msk/choose/114867/,"{'Планировка': {'title': 'Архитектура', 'description': 'Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные подходы в проектировании и строительстве зданий. Архитектурная композиция состоит из домов отличающегося типа.\n\nВысотные башни-доминанты с видовыми квартирами, дома пониже, растворяющиеся в спокойствии внутренних двориков, малоэтажные камерные таунхаусы и разноэтажные дома с лоджиями на первой береговой линии соединяются в одно эстетичное современное произведение. В результате создаётся насыщенное идентичное пространство, подчёркнутое плавностью природных форм, наполненное светом, воздухом и свободой.', 'images': ['/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg', '/upload/kelnik.adminpage/044/wi1dkfjndswhxw8pldt6ymtmki89iy0f.jpg', '/upload/kelnik.adminpage/849/o6mhmeovsrb2ezhqyfddwtx0eoznsovt.jpg']}, 'План этажа': {'title': 'Архитектура', 'description': 'Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные подходы в проектировании и строительстве зданий. Архитектурная композиция состоит из домов отличающегося типа.\n\nВысотные башни-доминанты с видовыми квартирами, дома пониже, растворяющиеся в спокойствии внутренних двориков, малоэтажные камерные таунхаусы и разноэтажные дома с лоджиями на первой береговой линии соединяются в одно эстетичное современное произведение. В результате создаётся насыщенное идентичное пространство, подчёркнутое плавностью природных форм, наполненное светом, воздухом и свободой.', 'images': ['/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg', '/upload/kelnik.adminpage/044/wi1dkfjndswhxw8pldt6ymtmki89iy0f.jpg', '/upload/kelnik.adminpage/849/o6mhmeovsrb2ezhqyfddwtx0eoznsovt.jpg']}, 'Архитектура': {'title': 'Архитектура', 'description': 'Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные подходы в проектировании и строительстве зданий. Архитектурная композиция состоит из домов отличающегося типа.\n\nВысотные башни-доминанты с видовыми квартирами, дома пониже, растворяющиеся в спокойствии внутренних двориков, малоэтажные камерные таунхаусы и разноэтажные дома с лоджиями на первой береговой линии соединяются в одно эстетичное современное произведение. В результате создаётся насыщенное идентичное пространство, подчёркнутое плавностью природных форм, наполненное светом, воздухом и свободой.', 'images': ['/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg', '/upload/kelnik.adminpage/044/wi1dkfjndswhxw8pldt6ymtmki89iy0f.jpg', '/upload/kelnik.adminpage/849/o6mhmeovsrb2ezhqyfddwtx0eoznsovt.jpg']}, 'Квартиры с террасами': {'title': 'Квартиры с террасами', 'description': 'Большой выбор квартир с террасами — от 2-комнатных до 5-комнатных. Террасы, с которых открывается живописный вид на набережную Шагала и Москву-реку или внутренний двор.\n\nДвухуровневая 5-комнатная квартира с открытой террасой идеально подойдет большой семье, а также тем, кому нужен домашний офис или творческая студия — каждый уровень имеет отдельный вход. Единственная на этаже, такая квартира создает ощущение частного загородного дома.', 'images': ['/upload/kelnik.adminpage/b48/olyakjywa93zflaiur5xx62ljzhipnjv.jpg']}, 'Подземный паркинг': {'title': 'Подземный паркинг', 'description': 'Мечта практически любого москвича — дворы без машин — будет воплощена в жизнь благодаря подземному паркингу, расположенному под всей территорией застройки.\n\nНа каждом этапе строительства жилого квартала Shagal предусмотрен подземный отапливаемый паркинг.\n\nВсе лифты спускаются в подземный паркинг и автоматически управляются системой умной дом, которая анализирует трафик и распределяет загрузку в зависимости от потребностей жителей. Помещения будут оснащены современной приточно-вытяжной вентиляцией.', 'images': ['/upload/kelnik.adminpage/c0b/0pkucorlxsy43gyagzrb2dzbras5tvwc.jpg', '/upload/kelnik.adminpage/6bb/fsu6jn53ipzkk4g35f9ynbo485dgdjuh.jpg', '/upload/kelnik.adminpage/f23/y5n243hprvkvyjubv0bge5cycaqmei4s.jpg']}, 'Urban лобби': {'title': 'Входная группа', 'description': 'Лобби в стиле урбан-минимализма удивит вас своим простором и функциональностью. Помимо привычных колясочных, санузлов и ресепшн-зоны, здесь появится полноценное пространство для отдыха, работы и творчества.\n\nХарактерный стиль из экстерьера плавно перетекает в интерьер, стоит лишь шагнуть с улицы в лобби. Светлые мягкие оттенки лаконичной мебели и отделки минимизируют наличие визуального шума, оставляя пространство для спокойной и уютной атмосферы. Акцентная символика на стенах и предметы интерьера напоминают часть выставки современного искусства.', 'images': ['/upload/kelnik.adminpage/250/i84iklkx1laxpe19mpl8edlb91xx2u2z.jpg', '/upload/kelnik.adminpage/c7d/nqbjiqt00zis1y7mwtp620s9m0jnb79j.jpg', '/upload/kelnik.adminpage/216/4t2gle2u50b2ln10bwr119k742vgmhd4.jpg']}, 'Социальная инфраструктура': {'title': 'Социальная инфраструктура', 'description': 'На территории жилого квартала планируется строительство обучающих и развивающих локаций: 6 детских садов и 2 школы, в ближайшем окружении находятся колледжи и ВУЗы.\n\nПри необходимости всегда можно обратиться за квалифицированной медицинской помощью в поликлинику для детей и взрослых.\n\nМы предусмотрели наличие полного спектра социальной инфраструктуры. Один из главных векторов концепции Shagal — 100% kids friendly.', 'images': ['/upload/kelnik.adminpage/711/hnlth1fvne787id7ts3z4s285yy6p4qq.jpg', '/upload/kelnik.adminpage/012/dbpowhqys1jqyip1wgdrnn3aqod3trt1.jpg', '/upload/kelnik.adminpage/630/1ltj9xgr5mmt2ermmh7av596x1coskdk.jpg']}, 'Набережная': {'title': 'Набережная', 'description': 'Река — идеальное соседство для района нового формата и множество преимуществ: отличная экология, ощущение близости к природе, живописные виды из окон.\n\nУ жителей Shagal будет возможность совершать утренние пробежки под пение птиц, практиковать SUP-серфинг на зеркальной глади, заниматься йогой под шелест листвы, встречать яркие закаты, дыша свежим речным воздухом.\n\nВ затоне Новинки, будет построена и оборудована целая инфраструктура для «причального отдыха», которая будет включать в себя: фудкорт, площадку для мероприятий, ресторан с террасой, а также пространство для коворкинга. И всё это будет доступно для жителей квартала Shagal.', 'images': ['/upload/kelnik.adminpage/042/i4i0v3y9k5bh5nrbhl0k93v7plcn4nsx.jpg']}, 'Благоустройство': {'title': 'Благоустройство', 'description': 'Инновационной станет и внутренняя логистика квартала. Сеть комфортных пешеходных маршрутов создана с учетом солнечных и теневых сторон улиц, местной розы ветров и будущего озеленения.\n\nЖилой квартал Shagal — первый в Москве район, который строится по принципу «15-минутного города». Это город коротких расстояний, где в пределах 15-ти минут каждый житель сможет дойти от своего дома до всех необходимых общественных, социальных, коммерческих и деловых пространств, будь то парк, детский сад, офис или супермаркет. За счёт продуманной среды эти прогулки по району позволят жителям получать разнообразный клиентский опыт.', 'images': ['/upload/kelnik.adminpage/61f/d0cede21qlr8sizj5lt65heod70oij1o.jpg']}}"
